emoji,channel,sentiment,re_emoji
[好的],wechat,pos,\[好的\]
[翻白眼],wechat,neu,\[翻白眼\]
[666],wechat,pos,\[666\]
[嘴唇],wechat,pos,\[嘴唇\]
[心碎],wechat,neg,\[心碎\]
[弱],wechat,neg,\[弱\]
[握手],wechat,pos,\[握手\]
[抱拳],wechat,pos,\[抱拳\]
[勾引],wechat,pos,\[勾引\]
[拳頭],wechat,pos,\[拳頭\]
[OK],wechat,pos,\[OK\]
[啤酒],wechat,pos,\[啤酒\]
[咖啡],wechat,pos,\[咖啡\]
[蛋糕],wechat,pos,\[蛋糕\]
[玫瑰],wechat,pos,\[玫瑰\]
[枯萎],wechat,neg,\[枯萎\]
[炸彈],wechat,pos,\[炸彈\]
[月亮],wechat,pos,\[月亮\]
[太陽],wechat,pos,\[太陽\]
[慶祝],wechat,pos,\[慶祝\]
[禮物],wechat,pos,\[禮物\]
[福],wechat,pos,\[福\]
[煙花],wechat,pos,\[煙花\]
[爆竹],wechat,pos,\[爆竹\]
[豬頭],wechat,pos,\[豬頭\]
[西瓜],wechat,pos,\[西瓜\]
[籃球],wechat,pos,\[籃球\]
[乒乓],wechat,pos,\[乒乓\]
[飯],wechat,pos,\[飯\]
[閃電],wechat,neu,\[閃電\]
[差勁],wechat,neg,\[差勁\]
[愛你],wechat,pos,\[愛你\]
[NO],wechat,neu,\[NO\]
[愛情],wechat,pos,\[愛情\]
[飛吻],wechat,pos,\[飛吻\]
[回頭],wechat,neu,\[回頭\]
[磕頭],wechat,neu,\[磕頭\]
[激動],wechat,pos,\[激動\]
[獻吻],wechat,pos,\[獻吻\]
[左太極],wechat,pos,\[左太極\]
[右太極],wechat,pos,\[右太極\]
[发呆],wechat,neu,\[发呆\]
[流泪],wechat,neu,\[流泪\]
[闭嘴],wechat,neu,\[闭嘴\]
[尴尬],wechat,neu,\[尴尬\]
[发怒],wechat,neg,\[发怒\]
[调皮],wechat,pos,\[调皮\]
[惊讶],wechat,pos,\[惊讶\]
[难过],wechat,neu,\[难过\]
[惊恐],wechat,neg,\[惊恐\]
[憨笑],wechat,pos,\[憨笑\]
[咒骂],wechat,neg,\[咒骂\]
[疑问],wechat,neu,\[疑问\]
[嘘],wechat,neu,\[嘘\]
[晕],wechat,neu,\[晕\]
[骷髅],wechat,neu,\[骷髅\]
[再见],wechat,neu,\[再见\]
[抠鼻],wechat,neu,\[抠鼻\]
[坏笑],wechat,pos,\[坏笑\]
[鄙视],wechat,neg,\[鄙视\]
[阴险],wechat,pos,\[阴险\]
[亲亲],wechat,pos,\[亲亲\]
[可怜],wechat,neu,\[可怜\]
[破涕为笑],wechat,pos,\[破涕为笑\]
[恐惧],wechat,neu,\[恐惧\]
[嘿哈],wechat,pos,\[嘿哈\]
[捂脸],wechat,pos,\[捂脸\]
[机智],wechat,pos,\[机智\]
[皱眉],wechat,neu,\[皱眉\]
[耶],wechat,pos,\[耶\]
[打脸],wechat,neu,\[打脸\]
[叹气],wechat,neu,\[叹气\]
[裂开],wechat,neu,\[裂开\]
[苦涩],wechat,neu,\[苦涩\]
[爱心],wechat,pos,\[爱心\]
[拥抱],wechat,pos,\[拥抱\]
[强],wechat,pos,\[强\]
[胜利],wechat,pos,\[胜利\]
[拳头],wechat,pos,\[拳头\]
[太阳],wechat,pos,\[太阳\]
[礼物],wechat,pos,\[礼物\]
[红包],wechat,pos,\[红包\]
[烟花],wechat,pos,\[烟花\]
[猪头],wechat,pos,\[猪头\]
[篮球],wechat,pos,\[篮球\]
[饭],wechat,pos,\[饭\]
[闪电],wechat,neu,\[闪电\]
[奋斗],wechat,pos,\[奋斗\]
[差劲],wechat,neg,\[差劲\]
[爱你],wechat,pos,\[爱你\]
[爱情],wechat,pos,\[爱情\]
[飞吻],wechat,pos,\[飞吻\]
[回头],wechat,neu,\[回头\]
[磕头],wechat,neu,\[磕头\]
[激动],wechat,pos,\[激动\]
[献吻],wechat,pos,\[献吻\]
[左太极],wechat,pos,\[左太极\]
[Shy],wechat,pos,\[Shy\]
[Silent],wechat,neu,\[Silent\]
[Sleep],wechat,neu,\[Sleep\]
[Ruthless],wechat,pos,\[Ruthless\]
[Tormented],wechat,neg,\[Tormented\]
[Panic],wechat,neg,\[Panic\]
[Commando],wechat,neu,\[Commando\]
[Scold],wechat,neg,\[Scold\]
[Skull],wechat,neu,\[Skull\]
[Hammer],wechat,neu,\[Hammer\]
[Wave],wechat,neu,\[Wave\]
[Bah！L],wechat,neu,\[Bah！L\]
[Bah！R],wechat,neu,\[Bah！R\]
[Pooh-pooh],wechat,neg,\[Pooh-pooh\]
[Wrath],wechat,neu,\[Wrath\]
[Facepalm],wechat,pos,\[Facepalm\]
[Yeah!],wechat,pos,\[Yeah!\]
[ThumbsDown],wechat,neg,\[ThumbsDown\]
[Cake],wechat,pos,\[Cake\]
[Cleaver],wechat,neg,\[Cleaver\]
[Bomb],wechat,pos,\[Bomb\]
[Poop],wechat,neu,\[Poop\]
[Moon],wechat,pos,\[Moon\]
[Gift],wechat,pos,\[Gift\]
[Basketball],wechat,pos,\[Basketball\]
[PingPong],wechat,pos,\[PingPong\]
[Rice],wechat,pos,\[Rice\]
[Lightning],wechat,neu,\[Lightning\]
[Shame],wechat,neu,\[Shame\]
[可爱],weibo,pos,\[可爱\]
[太开心],weibo,pos,\[太开心\]
[嘻嘻],weibo,pos,\[嘻嘻\]
[哈哈],weibo,pos,\[哈哈\]
[笑cry],weibo,pos,\[笑cry\]
[挤眼],weibo,pos,\[挤眼\]
[馋嘴],weibo,pos,\[馋嘴\]
[黑线],weibo,neu,\[黑线\]
[哼],weibo,neu,\[哼\]
[悲伤],weibo,neu,\[悲伤\]
[泪],weibo,neu,\[泪\]
[允悲],weibo,pos,\[允悲\]
[憧憬],weibo,pos,\[憧憬\]
[舔屏],weibo,pos,\[舔屏\]
[思考],weibo,neu,\[思考\]
[傻眼],weibo,neu,\[傻眼\]
[互粉],weibo,pos,\[互粉\]
[钱],weibo,pos,\[钱\]
[打call],weibo,pos,\[打call\]
[牛年大吉],weibo,pos,\[牛年大吉\]
[doge],weibo,pos,\[doge\]
[二哈],weibo,pos,\[二哈\]
[摊手],weibo,neu,\[摊手\]
[跪了],weibo,pos,\[跪了\]
[迎福运],weibo,pos,\[迎福运\]
[福到了],weibo,pos,\[福到了\]
[丘比特],weibo,pos,\[丘比特\]
[奶瓶],weibo,pos,\[奶瓶\]
[百事可乐],weibo,pos,\[百事可乐\]
[微笑趣泡],weibo,pos,\[微笑趣泡\]
[红围脖],weibo,pos,\[红围脖\]
[2022],weibo,pos,\[2022\]
[小雪人],weibo,pos,\[小雪人\]
[雪刀],weibo,pos,\[雪刀\]
[风起洛阳],weibo,pos,\[风起洛阳\]
[开学季],weibo,pos,\[开学季\]
[赢牛奶],weibo,pos,\[赢牛奶\]
[心],weibo,pos,\[心\]
[伤心],weibo,neg,\[伤心\]
[赞],weibo,pos,\[赞\]
[ok],weibo,pos,\[ok\]
[奥特曼],weibo,pos,\[奥特曼\]
[给力],weibo,pos,\[给力\]
[羞嗒嗒],weibo,pos,\[羞嗒嗒\]
[好喜欢],weibo,pos,\[好喜欢\]
[圣诞老人111],weibo,pos,\[圣诞老人111\]
[五仁月饼_旧],weibo,pos,\[五仁月饼_旧\]
[给你小心心],weibo,pos,\[给你小心心\]
[圣诞袜],weibo,pos,\[圣诞袜\]
[圣诞帽],weibo,pos,\[圣诞帽\]
[平安果],weibo,pos,\[平安果\]
[姜饼人],weibo,pos,\[姜饼人\]
[欢度国庆],weibo,pos,\[欢度国庆\]
[七夕布谷鸟],weibo,pos,\[七夕布谷鸟\]
[撒狗粮],weibo,pos,\[撒狗粮\]
[求脱单],weibo,pos,\[求脱单\]
[这就是街舞3],weibo,pos,\[这就是街舞3\]
[毛巾助力],weibo,pos,\[毛巾助力\]
[超新星运动会],weibo,pos,\[超新星运动会\]
[父与子],weibo,pos,\[父与子\]
[棒棒糖],weibo,pos,\[棒棒糖\]
[纸飞机],weibo,pos,\[纸飞机\]
[锦鲤],weibo,pos,\[锦鲤\]
[绿植领养],weibo,pos,\[绿植领养\]
[绿植挖土],weibo,pos,\[绿植挖土\]
[绿植托脸],weibo,pos,\[绿植托脸\]
[绿植乖巧],weibo,pos,\[绿植乖巧\]
[C3PO],weibo,pos,\[C3PO\]
[哆啦A梦害怕],weibo,neg,\[哆啦A梦害怕\]
[哆啦A梦微笑],weibo,pos,\[哆啦A梦微笑\]
[小黄人剪刀手],weibo,pos,\[小黄人剪刀手\]
[害羞R],xiaohongshu,pos,\[害羞R\]
[失望R],xiaohongshu,neu,\[失望R\]
[汗颜R],xiaohongshu,neu,\[汗颜R\]
[哇R],xiaohongshu,pos,\[哇R\]
[偷笑R],xiaohongshu,pos,\[偷笑R\]
[飞吻R],xiaohongshu,pos,\[飞吻R\]
[石化R],xiaohongshu,neg,\[石化R\]
[笑哭R],xiaohongshu,pos,\[笑哭R\]
[赞R],xiaohongshu,pos,\[赞R\]
[大笑R],xiaohongshu,pos,\[大笑R\]
[哭惹R],xiaohongshu,neu,\[哭惹R\]
[斜眼R],xiaohongshu,pos,\[斜眼R\]
[皱眉R],xiaohongshu,pos,\[皱眉R\]
[捂脸R],xiaohongshu,pos,\[捂脸R\]
[派对R],xiaohongshu,pos,\[派对R\]
[色色],xiaohongshu,pos,\[色色\]
[石化],xiaohongshu,neg,\[石化\]
[candy],douyin,pos,\[candy\]
[糖葫芦],douyin,pos,\[糖葫芦\]
[虎头],douyin,pos,\[虎头\]
[饺子],douyin,pos,\[饺子\]
[鞭炮],douyin,pos,\[鞭炮\]
[元宝],douyin,pos,\[元宝\]
[汤圆],douyin,pos,\[汤圆\]
[yyds],douyin,pos,\[yyds\]
[emo],douyin,pos,\[emo\]
[雪人],douyin,pos,\[雪人\]
[圣诞树],douyin,pos,\[圣诞树\]
[蕉绿],douyin,neu,\[蕉绿\]
[屎],douyin,neu,\[屎\]
[我太难了],douyin,neu,\[我太难了\]
[18禁],douyin,neg,\[18禁\]
[强壮],douyin,pos,\[强壮\]
[惊喜],douyin,pos,\[惊喜\]
[绿帽子],douyin,neu,\[绿帽子\]
[暗中观察],douyin,pos,\[暗中观察\]
[菜狗],douyin,pos,\[菜狗\]
[干饭人],douyin,pos,\[干饭人\]
[吐舌],douyin,neu,\[吐舌\]
[看],douyin,pos,\[看\]
[笑哭],douyin,pos,\[笑哭\]
[泪奔],douyin,pos,\[泪奔\]
[感谢],douyin,pos,\[感谢\]
[泣不成声],douyin,pos,\[泣不成声\]
[超话],comments,pos,\[超话\]
[米奇比心],comments,pos,\[米奇比心\]
[小红花],comments,pos,\[小红花\]
[迷雾剧场],comments,pos,\[迷雾剧场\]
[桃花],comments,pos,\[桃花\]
[五仁月饼新],comments,pos,\[五仁月饼新\]
[圆月],comments,pos,\[圆月\]
[開學季],comments,pos,\[開學季\]
[ali亲一个],comments,pos,\[ali亲一个\]
[米奇飞吻],comments,pos,\[米奇飞吻\]
[呵呵],comments,pos,\[呵呵\]
[ali美好],comments,pos,\[ali美好\]
[冰雪奇缘雪宝],comments,pos,\[冰雪奇缘雪宝\]
[米奇爱你],comments,pos,\[米奇爱你\]
[可愛],comments,pos,\[可愛\]
[贊],comments,pos,\[贊\]
[太開心],comments,pos,\[太開心\]
[鮮花],comments,pos,\[鮮花\]
[饞嘴],comments,pos,\[饞嘴\]
[給你小心心],comments,pos,\[給你小心心\]
[贏牛奶],comments,pos,\[贏牛奶\]
[好喜歡],comments,pos,\[好喜歡\]
[超話],comments,pos,\[超話\]
[擠眼],comments,pos,\[擠眼\]
[好愛哦],comments,pos,\[好愛哦\]
[笑而不語],comments,pos,\[笑而不語\]
[求關注],comments,pos,\[求關注\]
[贊啊],comments,pos,\[贊啊\]
[單身狗],comments,neu,\[單身狗\]
[並不簡單],comments,pos,\[並不簡單\]
[春遊家族],comments,pos,\[春遊家族\]
[給力],comments,pos,\[給力\]
[偷樂],comments,pos,\[偷樂\]
[中國贊],comments,pos,\[中國贊\]
[微風],comments,pos,\[微風\]
[小紅花],comments,pos,\[小紅花\]
[求饒],comments,pos,\[求饒\]
[裂開],comments,neu,\[裂開\]
[奧特曼],comments,pos,\[奧特曼\]
[費解],comments,neu,\[費解\]
[攤手],comments,neu,\[攤手\]
[傑瑞],comments,pos,\[傑瑞\]
[黑線],comments,neu,\[黑線\]
[乾杯],comments,pos,\[乾杯\]
[迷霧劇場],comments,pos,\[迷霧劇場\]
[掌寶熒光棒],comments,pos,\[掌寶熒光棒\]
[掌寶愛心],comments,pos,\[掌寶愛心\]
[哆啦A夢微笑],comments,pos,\[哆啦A夢微笑\]
[哆啦A夢吃驚],comments,pos,\[哆啦A夢吃驚\]
[傷心],comments,neg,\[傷心\]
[航天員],comments,pos,\[航天員\]
[熊貓],comments,pos,\[熊貓\]
[圍觀],comments,pos,\[圍觀\]
[哆啦A夢害怕],comments,neu,\[哆啦A夢害怕\]
[來],comments,pos,\[來\]
[鋼鐵俠],comments,pos,\[鋼鐵俠\]
[吃驚],comments,neu,\[吃驚\]
[飛機],comments,pos,\[飛機\]
[怒罵],comments,neg,\[怒罵\]
[帶著微博去旅行],comments,pos,\[帶著微博去旅行\]
[蠟燭],comments,pos,\[蠟燭\]
[音樂],comments,pos,\[音樂\]
[五仁月餅新],comments,pos,\[五仁月餅新\]
[大偵探皮卡丘微笑],comments,pos,\[大偵探皮卡丘微笑\]
[哆啦A夢花心],comments,pos,\[哆啦A夢花心\]
[錢],comments,pos,\[錢\]
[浮雲],comments,pos,\[浮雲\]
[男孩兒],comments,pos,\[男孩兒\]
[弗萊見錢眼開],comments,pos,\[弗萊見錢眼開\]
[圓月],comments,pos,\[圓月\]
[美國隊長],comments,pos,\[美國隊長\]
[頂],comments,neu,\[頂\]
[生而為贏],comments,pos,\[生而為贏\]
[女孩兒],comments,pos,\[女孩兒\]
[蜘蛛俠],comments,pos,\[蜘蛛俠\]
[驚奇隊長],comments,pos,\[驚奇隊長\]
[話筒],comments,pos,\[話筒\]
[掌寶加油],comments,pos,\[掌寶加油\]
[鷹眼],comments,pos,\[鷹眼\]
[奇異博士],comments,pos,\[奇異博士\]
[馬到成功],comments,pos,\[馬到成功\]
[聖誕老人],comments,pos,\[聖誕老人\]
[ali親一個],comments,pos,\[ali親一個\]
[炸雞啤酒],comments,pos,\[炸雞啤酒\]
[米奇飛吻],comments,pos,\[米奇飛吻\]
[牛轟轟擁抱],comments,pos,\[牛轟轟擁抱\]
[紅燈籠],comments,pos,\[紅燈籠\]
[吃狗糧],comments,pos,\[吃狗糧\]
[冰雪奇緣雪寶],comments,pos,\[冰雪奇緣雪寶\]
[米奇愛你],comments,pos,\[米奇愛你\]
[Laughwithtears],comments,pos,\[Laughwithtears\]
[Yummy],comments,pos,\[Yummy\]
[Good],comments,pos,\[Good\]
[Lovely],comments,pos,\[Lovely\]
[Funnyface],comments,pos,\[Funnyface\]
[Loveface],comments,pos,\[Loveface\]
[Thinking],comments,pos,\[Thinking\]
[Blink],comments,pos,\[Blink\]
[Awsl],comments,pos,\[Awsl\]
[Cute],comments,pos,\[Cute\]
[Hehe],comments,pos,\[Hehe\]
[Excited],comments,pos,\[Excited\]
[Ok],comments,pos,\[Ok\]
[Haha],comments,pos,\[Haha\]
[Angel],comments,pos,\[Angel\]
[Thumbsup],comments,pos,\[Thumbsup\]
[Goforit],comments,pos,\[Goforit\]
[Noprob],comments,pos,\[Noprob\]
[Pride],comments,pos,\[Pride\]
[Coolguy],comments,pos,\[Coolguy\]
[Iloveyou],comments,pos,\[Iloveyou\]
[Awesome],comments,pos,\[Awesome\]
[Nosepick],comments,pos,\[Nosepick\]
[Tearingup],comments,neg,\[Tearingup\]
[Mybad],comments,neu,\[Mybad\]
[Brokenheart],comments,neg,\[Brokenheart\]
[Love],comments,pos,\[Love\]
[laughwithtears],comments,pos,\[laughwithtears\]
[happy],comments,pos,\[happy\]
[drool],comments,pos,\[drool\]
[yummy],comments,pos,\[yummy\]
[lovely],comments,pos,\[lovely\]
[scream],comments,neg,\[scream\]
[emm],comments,neu,\[emm\]
[funnyface],comments,pos,\[funnyface\]
[loveface],comments,pos,\[loveface\]
[thinking],comments,pos,\[thinking\]
[blink],comments,pos,\[blink\]
[angry],comments,neg,\[angry\]
[facepalm],comments,pos,\[facepalm\]
[joyful],comments,pos,\[joyful\]
[cute],comments,pos,\[cute\]
[hehe],comments,pos,\[hehe\]
[laugh],comments,pos,\[laugh\]
[excited],comments,pos,\[excited\]
[lol],comments,pos,\[lol\]
[wow],comments,pos,\[wow\]
[smirk],comments,pos,\[smirk\]
[grin],comments,pos,\[grin\]
[hey],comments,pos,\[hey\]
[angel],comments,pos,\[angel\]
[heart],comments,pos,\[heart\]
[rose],comments,pos,\[rose\]
[chuckle],comments,pos,\[chuckle\]
[smart],comments,pos,\[smart\]
[thumbsup],comments,pos,\[thumbsup\]
[party],comments,pos,\[party\]
[respect],comments,pos,\[respect\]
[onlooker],comments,pos,\[onlooker\]
[goforit],comments,pos,\[goforit\]
[blush],comments,neu,\[blush\]
[noprob],comments,pos,\[noprob\]
[shy],comments,pos,\[shy\]
[fireworks],comments,pos,\[fireworks\]
[salute],comments,pos,\[salute\]
[pride],comments,pos,\[pride\]
[whimper],comments,neu,\[whimper\]
[coolguy],comments,pos,\[coolguy\]
[hug],comments,pos,\[hug\]
[kiss],comments,pos,\[kiss\]
[worship],comments,pos,\[worship\]
[twirl],comments,pos,\[twirl\]
[awesome],comments,pos,\[awesome\]
[trick],comments,pos,\[trick\]
[waddle],comments,pos,\[waddle\]
[nosepick],comments,pos,\[nosepick\]
[bye],comments,neu,\[bye\]
[tearingup],comments,neg,\[tearingup\]
[sly],comments,pos,\[sly\]
[mybad],comments,neu,\[mybad\]
[clap],comments,pos,\[clap\]
[blessing],comments,pos,\[blessing\]
[firecracker],comments,pos,\[firecracker\]
[lips],comments,pos,\[lips\]
[gift],comments,pos,\[gift\]
[brokenheart],comments,neg,\[brokenheart\]
[wilt],comments,neg,\[wilt\]
[tongue],comments,pos,\[tongue\]
[sun],comments,pos,\[sun\]
[shake],comments,pos,\[shake\]
[rich],comments,pos,\[rich\]
[love],comments,pos,\[love\]
[toasted],comments,neu,\[toasted\]
[beer],comments,pos,\[beer\]
[watermelon],comments,pos,\[watermelon\]
[coffee],comments,pos,\[coffee\]
[packet],comments,pos,\[packet\]
[fist],comments,pos,\[fist\]
[peace],comments,pos,\[peace\]
